customer_unique_id,04c4a4b9c924494fcf82e0fba966f955,06edb72f1e0c64b14c5b79353f7abea3,0bcc3eeca39e1064258aa1e932269894,154e7e31ebfa092203795c972e5804a6,2b4609f8948be18874494203496bc318,368c6c730842d78016ad823897a372db,36f60d45225e60c7da4558b070ce4b60,386486367c1f9d4f587a8864ccb6902b,389d119b48cf3043d311335e499d9c6b,3f14d740544f37ece8a9e7bc8349797e,3fdb534dccf5bc9ab0406944b913787d,422879e10f46682990de24d770e7f83d,53759a2ecddad2bb87a079a1f1519f73,53b36df67ebb7c41585e8d54d6772e08,727a46f0b58a9ef165af9f7ebcfebfa9,7b5d8be0e04080e4c8ee6a7ec2f1f597,7c1bd920dbdf22470b68bde975dd3ccf,7c68e7297c7df2535c9f0dcd61007f64,812f428f6757ab16c46cffc68f2e90c5,89b190a046022486c635022524a974a8,928e52a9ad53a294fdcc91bcf59d1751,962a6951154f98f2c8e9a5b8b2bcf4a9,99a4788cb24856965c36a24e339b6058,9ecadb84c81da840dbf3564378b586e9,a62e25e09e05e6faf31d90c6ec1aa3d1,b114bf337c0626166abe574eee9e3f32,b1acb7e8152c90c9619897753a75c973,bb90206fa281c20f0b4c42a2393b54dd,c211ff3068fcd2f8898192976d8b3a32,c4baedd846ed09b85f78a781b522f126,d1c427060a0f73f6b889a5c7c61f2ac4,d34c07a2d817ac73f4caf8c574215fed,d493f5a208254fe85b3ab55d898461a1,d5991653e037ccb7af6ed7d94246b249,dbb67791e405873b259e4656bf971246,e0d64dcfaa3b6db5c54ca298ae101d05,e53e557d5a159f5aa2c5e995dfdf244b,e7cc48a9daff5436f63d3aad9426f28b,ec2d43cc59763ec91694573b31f1c29a,f1c7f353075ce59d8a6f3cf58f419c9c,f3720bc68555b1bff49b9ffd41b017ac
0178b244a5c281fb2ade54038dd4b161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02b20b7c813efede140142ac610e36dc,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02fbe4db886eb98774c8ba300d39fa79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
048dbdf8f9bbd1be87b25868d1408311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
04d3c2795b83634312bf3f86f41f7901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04e495a3f45df8b41be2e934bbc16961,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
075c38f7a650b0dc822712c7a58e93d4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
07ff81a9676efa0286ddd3f09e7c0063,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0807baeeeaa1309effbd9a9dee41ab17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
096e351116755fe4c3c1e48eaf301a41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
